iter	Passed	Remaining
0	47	47208
1	47	23869
2	48	16077
3	48	12173
4	49	9833
5	49	8270
6	50	7177
7	51	6368
8	52	5762
9	53	5262
10	53	4847
11	54	4501
12	55	4216
13	56	3968
14	57	3751
15	58	3574
16	58	3406
17	59	3259
18	60	3127
19	61	3011
20	62	2903
21	63	2806
22	63	2717
23	64	2632
24	65	2544
25	65	2458
26	67	2422
27	67	2352
28	68	2286
29	68	2225
30	69	2168
31	69	2114
32	70	2063
33	70	2015
34	71	1970
35	71	1927
36	72	1887
37	73	1850
38	73	1813
39	74	1777
40	74	1742
41	74	1710
42	75	1678
43	75	1648
44	76	1619
45	76	1592
46	77	1565
47	77	1540
48	78	1515
49	78	1492
50	79	1470
51	79	1448
52	79	1428
53	80	1408
54	80	1388
55	81	1370
56	81	1352
57	82	1334
58	82	1317
59	83	1301
60	83	1286
61	84	1271
62	84	1256
63	84	1241
64	85	1228
65	85	1214
66	86	1201
67	86	1188
68	87	1176
69	87	1164
70	88	1152
71	88	1140
72	88	1129
73	89	1118
74	89	1108
75	90	1098
76	90	1088
77	91	1078
78	91	1069
79	92	1060
80	92	1050
81	93	1042
82	93	1033
83	93	1024
84	94	1016
85	94	1008
86	95	1000
87	95	993
88	96	985
89	96	978
90	97	971
91	97	964
92	98	957
93	98	950
94	99	943
95	99	936
96	99	930
97	100	924
98	100	918
99	101	911
100	101	904
101	102	899
102	102	893
103	103	887
104	103	882
105	103	877
106	104	871
107	104	866
108	105	861
109	105	855
110	106	850
111	106	846
112	107	841
113	107	836
114	108	831
115	108	827
116	109	822
117	109	818
118	109	813
119	110	809
120	110	805
121	111	800
122	111	796
123	112	792
124	112	788
125	113	784
126	113	781
127	114	777
128	114	773
129	115	769
130	115	765
131	115	762
132	116	758
133	116	755
134	117	751
135	117	748
136	118	744
137	118	741
138	119	738
139	119	734
140	120	731
141	120	728
142	120	724
143	121	721
144	121	718
145	122	715
146	122	712
147	123	709
148	123	706
149	124	703
150	124	700
151	125	697
152	125	695
153	126	692
154	126	689
155	126	686
156	127	684
157	127	681
158	128	678
159	128	675
160	129	673
161	129	670
162	130	668
163	130	665
164	131	662
165	131	660
166	131	657
167	132	655
168	132	653
169	133	650
170	133	648
171	134	645
172	134	643
173	135	641
174	135	638
175	136	636
176	136	635
177	137	632
178	137	630
179	138	629
180	138	627
181	139	625
182	139	623
183	140	621
184	140	619
185	141	618
186	141	616
187	142	614
188	142	612
189	143	610
190	143	609
191	144	607
192	144	605
193	145	603
194	145	602
195	146	600
196	146	598
197	147	597
198	147	595
199	148	593
200	148	591
201	149	590
202	149	588
203	150	586
204	150	585
205	151	583
206	152	582
207	152	580
208	153	579
209	153	577
210	154	576
211	154	574
212	155	572
213	155	571
214	156	569
215	156	568
216	157	566
217	157	565
218	158	563
219	158	562
220	159	560
221	159	559
222	160	557
223	160	556
224	161	555
225	161	553
226	162	552
227	162	550
228	163	549
229	163	548
230	164	546
231	164	545
232	165	544
233	165	542
234	166	541
235	166	539
236	167	538
237	167	537
238	168	535
239	168	534
240	169	533
241	169	531
242	170	530
243	170	529
244	171	528
245	171	526
246	172	525
247	172	524
248	173	522
249	173	521
250	174	520
251	174	519
252	175	518
253	175	516
254	176	515
255	177	514
256	177	513
257	178	512
258	178	510
259	179	509
260	179	508
261	180	507
262	180	506
263	181	505
264	181	503
265	182	502
266	182	501
267	183	500
268	183	499
269	184	498
270	184	497
271	185	496
272	185	495
273	186	493
274	186	492
275	187	492
276	188	490
277	188	489
278	189	488
279	189	487
280	190	486
281	190	485
282	191	484
283	191	483
284	192	482
285	192	481
286	193	480
287	193	479
288	194	478
289	194	476
290	195	475
291	195	474
292	196	473
293	196	473
294	197	472
295	198	470
296	198	469
297	199	468
298	199	467
299	200	466
300	200	465
301	201	464
302	201	463
303	202	462
304	202	461
305	203	460
306	203	459
307	204	458
308	204	457
309	205	456
310	205	455
311	206	454
312	206	453
313	207	452
314	207	451
315	208	450
316	208	449
317	209	448
318	209	448
319	210	447
320	210	446
321	211	445
322	211	444
323	212	443
324	212	442
325	213	441
326	213	440
327	214	439
328	215	438
329	215	437
330	216	436
331	216	435
332	217	434
333	217	433
334	218	433
335	218	432
336	219	431
337	219	430
338	220	429
339	220	428
340	221	427
341	221	426
342	222	425
343	222	424
344	223	423
345	223	422
346	224	422
347	224	421
348	225	420
349	225	419
350	226	418
351	226	417
352	227	416
353	227	415
354	228	414
355	228	414
356	229	413
357	229	412
358	230	411
359	230	410
360	231	409
361	231	408
362	232	407
363	232	407
364	233	406
365	234	405
366	234	404
367	235	403
368	235	402
369	236	402
370	236	401
371	237	400
372	237	399
373	238	398
374	238	397
375	239	397
376	239	396
377	240	395
378	240	394
379	241	393
380	241	392
381	242	392
382	242	391
383	243	390
384	243	389
385	244	388
386	244	388
387	245	387
388	246	386
389	246	385
390	247	384
391	247	384
392	248	383
393	248	382
394	249	381
395	249	380
396	250	379
397	250	379
398	251	378
399	251	377
400	252	376
401	252	376
402	253	375
403	253	374
404	254	373
405	254	372
406	255	372
407	255	371
408	256	370
409	256	369
410	257	369
411	258	368
412	258	367
413	259	366
414	259	365
415	260	365
416	260	364
417	261	363
418	261	362
419	262	361
420	262	361
421	263	360
422	263	359
423	264	358
424	264	358
425	265	357
426	265	356
427	266	355
428	266	354
429	267	354
430	267	353
431	268	352
432	268	351
433	269	351
434	269	350
435	270	349
436	270	348
437	271	348
438	271	347
439	272	346
440	272	345
441	273	345
442	273	344
443	274	343
444	274	342
445	275	342
446	275	341
447	276	340
448	276	339
449	277	339
450	278	338
451	278	337
452	279	336
453	279	336
454	280	335
455	280	334
456	281	334
457	281	333
458	282	332
459	282	331
460	283	331
461	283	330
462	284	329
463	284	328
464	285	328
465	285	327
466	286	326
467	286	325
468	287	325
469	287	324
470	288	323
471	288	323
472	289	322
473	289	321
474	290	320
475	290	320
476	291	319
477	291	318
478	292	318
479	292	317
480	293	316
481	293	315
482	294	315
483	294	314
484	295	313
485	296	313
486	296	312
487	297	311
488	297	310
489	298	310
490	298	309
491	299	308
492	299	308
493	300	307
494	300	306
495	301	306
496	301	305
497	302	304
498	302	304
499	303	303
500	303	302
501	304	301
502	304	301
503	305	300
504	305	299
505	306	299
506	306	298
507	307	297
508	307	297
509	308	296
510	308	295
511	309	294
512	310	294
513	310	293
514	311	293
515	311	292
516	312	291
517	312	290
518	313	290
519	313	289
520	314	288
521	314	288
522	315	287
523	315	286
524	316	286
525	316	285
526	317	284
527	317	284
528	318	283
529	318	282
530	319	282
531	319	281
532	320	280
533	321	280
534	321	279
535	322	278
536	322	278
537	323	277
538	323	276
539	324	276
540	324	275
541	325	274
542	325	274
543	326	273
544	326	272
545	327	272
546	327	271
547	328	270
548	328	270
549	329	269
550	329	268
551	330	268
552	330	267
553	331	266
554	331	266
555	332	265
556	333	264
557	333	264
558	334	263
559	334	262
560	335	262
561	335	261
562	336	260
563	336	260
564	337	259
565	337	258
566	338	258
567	338	257
568	339	256
569	339	256
570	340	255
571	340	254
572	341	254
573	341	253
574	342	253
575	342	252
576	343	251
577	343	251
578	344	250
579	344	249
580	345	249
581	345	248
582	346	247
583	346	247
584	347	246
585	347	245
586	348	245
587	348	244
588	349	243
589	349	243
590	350	242
591	350	241
592	351	241
593	352	240
594	352	239
595	353	239
596	353	238
597	354	238
598	354	237
599	355	236
600	355	236
601	356	235
602	356	234
603	357	234
604	357	233
605	358	232
606	358	232
607	359	231
608	359	230
609	360	230
610	360	229
611	361	229
612	361	228
613	362	227
614	362	227
615	363	226
616	363	225
617	364	225
618	364	224
619	365	223
620	365	223
621	366	222
622	366	222
623	367	221
624	367	220
625	368	220
626	368	219
627	369	218
628	370	218
629	370	217
630	371	216
631	371	216
632	372	215
633	372	215
634	373	214
635	373	213
636	374	213
637	374	212
638	375	212
639	375	211
640	376	210
641	376	210
642	377	209
643	377	208
644	378	208
645	378	207
646	379	207
647	379	206
648	380	205
649	380	205
650	381	204
651	382	203
652	382	203
653	383	202
654	383	202
655	384	201
656	384	200
657	385	200
658	385	199
659	386	198
660	386	198
661	387	197
662	387	197
663	388	196
664	388	195
665	389	195
666	389	194
667	390	193
668	390	193
669	391	192
670	391	192
671	392	191
672	393	190
673	393	190
674	394	189
675	394	189
676	395	188
677	395	187
678	396	187
679	396	186
680	397	186
681	397	185
682	398	184
683	398	184
684	399	183
685	400	183
686	400	182
687	401	181
688	401	181
689	402	180
690	402	180
691	403	179
692	403	178
693	404	178
694	404	177
695	405	177
696	405	176
697	406	175
698	406	175
699	407	174
700	407	174
701	408	173
702	409	172
703	409	172
704	410	171
705	410	170
706	411	170
707	411	169
708	412	169
709	412	168
710	413	168
711	413	167
712	414	166
713	414	166
714	415	165
715	415	164
716	416	164
717	416	163
718	417	163
719	418	162
720	418	161
721	419	161
722	419	160
723	420	160
724	420	159
725	421	158
726	421	158
727	422	157
728	422	157
729	423	156
730	423	155
731	424	155
732	424	154
733	425	154
734	425	153
735	426	152
736	426	152
737	427	151
738	427	151
739	428	150
740	428	149
741	429	149
742	429	148
743	430	148
744	430	147
745	431	146
746	431	146
747	432	145
748	432	145
749	433	144
750	433	143
751	434	143
752	435	142
753	435	142
754	436	141
755	436	140
756	437	140
757	437	139
758	438	139
759	438	138
760	439	137
761	439	137
762	440	136
763	440	136
764	441	135
765	441	134
766	442	134
767	442	133
768	443	133
769	443	132
770	444	131
771	444	131
772	445	130
773	445	130
774	446	129
775	446	129
776	447	128
777	448	127
778	448	127
779	449	126
780	449	126
781	450	125
782	450	124
783	451	124
784	451	123
785	452	123
786	452	122
787	453	121
788	453	121
789	454	120
790	454	120
791	455	119
792	455	118
793	456	118
794	456	117
795	457	117
796	457	116
797	458	115
798	458	115
799	459	114
800	459	114
801	460	113
802	460	113
803	461	112
804	461	111
805	462	111
806	462	110
807	463	110
808	463	109
809	464	108
810	464	108
811	465	107
812	465	107
813	466	106
814	466	106
815	467	105
816	467	104
817	468	104
818	469	103
819	469	103
820	470	102
821	470	101
822	471	101
823	471	100
824	472	100
825	472	99
826	473	98
827	473	98
828	474	97
829	474	97
830	475	96
831	475	96
832	476	95
833	476	94
834	477	94
835	477	93
836	478	93
837	478	92
838	479	91
839	479	91
840	480	90
841	480	90
842	481	89
843	481	89
844	482	88
845	482	87
846	483	87
847	483	86
848	484	86
849	484	85
850	485	85
851	485	84
852	486	83
853	487	83
854	487	82
855	488	82
856	488	81
857	489	80
858	489	80
859	490	79
860	490	79
861	491	78
862	491	78
863	492	77
864	492	76
865	493	76
866	493	75
867	494	75
868	494	74
869	495	74
870	495	73
871	496	72
872	496	72
873	497	71
874	497	71
875	498	70
876	498	69
877	499	69
878	499	68
879	500	68
880	501	67
