date,rate
01.01.2020,61.9057
10.01.2020,61.234
11.01.2020,61.2632
14.01.2020,60.9474
15.01.2020,61.414
16.01.2020,61.4328
17.01.2020,61.5694
18.01.2020,61.5333
21.01.2020,61.4654
22.01.2020,61.8552
23.01.2020,61.8343
24.01.2020,61.9515
25.01.2020,61.8031
28.01.2020,62.338
29.01.2020,62.8299
30.01.2020,62.3934
31.01.2020,63.0359
01.02.2020,63.1385
04.02.2020,63.9091
05.02.2020,63.4342
06.02.2020,63.1742
07.02.2020,62.7977
08.02.2020,63.472
11.02.2020,63.7708
12.02.2020,63.949
13.02.2020,63.047
14.02.2020,63.6016
15.02.2020,63.4536
18.02.2020,63.3085
19.02.2020,63.7698
20.02.2020,63.6873
21.02.2020,63.7413
22.02.2020,64.3008
26.02.2020,64.9213
27.02.2020,65.5177
28.02.2020,65.6097
29.02.2020,66.9909
03.03.2020,66.3274
04.03.2020,66.4437
05.03.2020,66.0784
06.03.2020,66.1854
07.03.2020,67.5175
11.03.2020,72.0208
12.03.2020,71.472
13.03.2020,74.0274
14.03.2020,73.1882
17.03.2020,74.1262
18.03.2020,73.8896
19.03.2020,77.2131
20.03.2020,80.157
21.03.2020,78.0443
24.03.2020,80.8815
25.03.2020,78.8493
26.03.2020,77.7928
27.03.2020,78.7223
28.03.2020,77.7325
07.04.2020,76.4074
08.04.2020,75.455
09.04.2020,75.7499
10.04.2020,74.605
11.04.2020,73.7515
14.04.2020,73.5245
15.04.2020,73.315
16.04.2020,73.7145
17.04.2020,74.7119
18.04.2020,73.9441
21.04.2020,74.6657
22.04.2020,76.2562
23.04.2020,77.0416
24.04.2020,75.129
25.04.2020,74.7163
28.04.2020,74.496
29.04.2020,74.5706
30.04.2020,73.6894
01.05.2020,72.7263
07.05.2020,73.9719
08.05.2020,74.1169
09.05.2020,73.8725
13.05.2020,73.4326
14.05.2020,73.5819
15.05.2020,73.9298
16.05.2020,73.2056
19.05.2020,72.9798
20.05.2020,72.3918
21.05.2020,72.3381
22.05.2020,70.924
23.05.2020,71.8804
26.05.2020,71.5962
27.05.2020,71.1408
28.05.2020,71.0635
29.05.2020,71.1012
30.05.2020,70.752
02.06.2020,69.7114
03.06.2020,68.9831
04.06.2020,68.3413
05.06.2020,69.0151
06.06.2020,68.6319
09.06.2020,68.3123
10.06.2020,68.6745
11.06.2020,68.6183
12.06.2020,69.1219
16.06.2020,70.395
17.06.2020,69.7524
18.06.2020,69.4822
19.06.2020,69.618
20.06.2020,69.5725
23.06.2020,69.4835
24.06.2020,68.8376
25.06.2020,68.8376
